step 10,800/50,000  loss=0.0027  L0=128.0  FVE=0.971  dead=10,261  lr=9.02e-05     4,268 tok/s
step 11,000/50,000  loss=0.0027  L0=128.0  FVE=0.953  dead=10,203  lr=8.98e-05     4,268 tok/s
step 11,200/50,000  loss=0.0026  L0=128.0  FVE=0.862  dead=10,120  lr=8.95e-05     4,268 tok/s
step 11,400/50,000  loss=0.0026  L0=128.0  FVE=0.921  dead=10,044  lr=8.91e-05     4,268 tok/s
step 11,600/50,000  loss=0.0026  L0=128.0  FVE=0.967  dead=9,958  lr=8.87e-05     4,268 tok/s
step 11,800/50,000  loss=0.0026  L0=128.0  FVE=0.973  dead=9,906  lr=8.83e-05     4,269 tok/s
step 12,000/50,000  loss=0.0026  L0=128.0  FVE=0.955  dead=9,836  lr=8.79e-05     4,269 tok/s
step 12,200/50,000  loss=0.0026  L0=128.0  FVE=0.954  dead=9,765  lr=8.75e-05     4,269 tok/s
step 12,400/50,000  loss=0.0026  L0=128.0  FVE=0.876  dead=9,685  lr=8.71e-05     4,269 tok/s
step 12,600/50,000  loss=0.0025  L0=128.0  FVE=0.969  dead=9,587  lr=8.67e-05     4,270 tok/s
step 12,800/50,000  loss=0.0025  L0=128.0  FVE=0.955  dead=9,497  lr=8.62e-05     4,270 tok/s
step 13,000/50,000  loss=0.0025  L0=128.0  FVE=0.969  dead=9,451  lr=8.58e-05     4,270 tok/s
step 13,200/50,000  loss=0.0025  L0=128.0  FVE=0.969  dead=9,392  lr=8.54e-05     4,270 tok/s
step 13,400/50,000  loss=0.0025  L0=128.0  FVE=0.925  dead=9,313  lr=8.50e-05     4,270 tok/s
step 13,600/50,000  loss=0.0025  L0=128.0  FVE=0.955  dead=9,252  lr=8.45e-05     4,271 tok/s
step 13,800/50,000  loss=0.0025  L0=128.0  FVE=0.964  dead=9,149  lr=8.41e-05     4,271 tok/s
step 14,000/50,000  loss=0.0025  L0=128.0  FVE=0.957  dead=9,111  lr=8.36e-05     4,271 tok/s
step 14,200/50,000  loss=0.0025  L0=128.0  FVE=0.969  dead=9,055  lr=8.32e-05     4,271 tok/s
step 14,400/50,000  loss=0.0025  L0=128.0  FVE=0.883  dead=9,011  lr=8.27e-05     4,271 tok/s
step 14,600/50,000  loss=0.0024  L0=128.0  FVE=0.970  dead=8,914  lr=8.22e-05     4,272 tok/s
step 14,800/50,000  loss=0.0024  L0=128.0  FVE=0.969  dead=8,857  lr=8.17e-05     4,272 tok/s
step 15,000/50,000  loss=0.0024  L0=128.0  FVE=0.885  dead=8,821  lr=8.13e-05     4,272 tok/s
step 15,200/50,000  loss=0.0024  L0=128.0  FVE=0.977  dead=8,774  lr=8.08e-05     4,272 tok/s
step 15,400/50,000  loss=0.0024  L0=128.0  FVE=0.975  dead=8,713  lr=8.03e-05     4,272 tok/s
step 15,600/50,000  loss=0.0024  L0=128.0  FVE=0.714  dead=8,626  lr=7.98e-05     4,272 tok/s
step 15,800/50,000  loss=0.0024  L0=128.0  FVE=0.977  dead=8,535  lr=7.93e-05     4,272 tok/s
step 16,000/50,000  loss=0.0024  L0=128.0  FVE=0.978  dead=8,446  lr=7.88e-05     4,272 tok/s
step 16,200/50,000  loss=0.0024  L0=128.0  FVE=0.978  dead=8,402  lr=7.83e-05     4,273 tok/s
step 16,400/50,000  loss=0.0024  L0=128.0  FVE=0.929  dead=8,354  lr=7.78e-05     4,273 tok/s
step 16,600/50,000  loss=0.0023  L0=128.0  FVE=0.967  dead=8,286  lr=7.73e-05     4,273 tok/s
step 16,800/50,000  loss=0.0023  L0=128.0  FVE=0.960  dead=8,233  lr=7.68e-05     4,273 tok/s
step 17,000/50,000  loss=0.0023  L0=128.0  FVE=0.882  dead=8,188  lr=7.63e-05     4,273 tok/s
step 17,200/50,000  loss=0.0023  L0=128.0  FVE=0.967  dead=8,136  lr=7.57e-05     4,273 tok/s
step 17,400/50,000  loss=0.0023  L0=128.0  FVE=0.949  dead=8,094  lr=7.52e-05     4,274 tok/s
step 17,600/50,000  loss=0.0023  L0=128.0  FVE=0.971  dead=8,043  lr=7.47e-05     4,274 tok/s
step 17,800/50,000  loss=0.0023  L0=128.0  FVE=0.960  dead=8,000  lr=7.41e-05     4,274 tok/s
step 18,000/50,000  loss=0.0023  L0=128.0  FVE=0.967  dead=7,941  lr=7.36e-05     4,274 tok/s
step 18,200/50,000  loss=0.0023  L0=128.0  FVE=0.949  dead=7,881  lr=7.31e-05     4,274 tok/s
step 18,400/50,000  loss=0.0023  L0=128.0  FVE=0.960  dead=7,835  lr=7.25e-05     4,274 tok/s
step 18,600/50,000  loss=0.0023  L0=128.0  FVE=0.961  dead=7,793  lr=7.20e-05     4,274 tok/s
step 18,800/50,000  loss=0.0023  L0=128.0  FVE=0.972  dead=7,771  lr=7.14e-05     4,274 tok/s
step 19,000/50,000  loss=0.0023  L0=128.0  FVE=0.961  dead=7,733  lr=7.09e-05     4,274 tok/s
step 19,200/50,000  loss=0.0022  L0=128.0  FVE=0.960  dead=7,693  lr=7.03e-05     4,274 tok/s
step 19,400/50,000  loss=0.0022  L0=128.0  FVE=0.950  dead=7,625  lr=6.97e-05     4,274 tok/s
step 19,600/50,000  loss=0.0022  L0=128.0  FVE=0.931  dead=7,597  lr=6.92e-05     4,274 tok/s
step 19,800/50,000  loss=0.0022  L0=128.0  FVE=0.950  dead=7,557  lr=6.86e-05     4,274 tok/s
step 20,000/50,000  loss=0.0022  L0=128.0  FVE=0.976  dead=7,495  lr=6.80e-05     4,274 tok/s
  [saved checkpoint_step_020000.npz]
step 20,200/50,000  loss=0.0022  L0=128.0  FVE=0.950  dead=7,440  lr=6.75e-05     4,273 tok/s
